Miasto;Wojewodztwo;Latitude;Longitude
Biała (miasto);opolskie;50.385555555555555;17.664166666666667
Brzeg (miasto);opolskie;50.86027777777778;17.46722222222222
Byczyna;opolskie;51.113055555555555;18.211111111111112
Dobrodzień;opolskie;50.72777777777778;18.444444444444446
Głogówek;opolskie;50.34388888888889;17.86722222222222
Głubczyce;opolskie;50.2;17.834166666666665
Głuchołazy;opolskie;50.31305555555555;17.374166666666667
Gogolin;opolskie;50.488055555555555;18.023888888888887
Gorzów Śląski;opolskie;51.02833333333333;18.424444444444447
Grodków;opolskie;50.698055555555555;17.384444444444444
Kędzierzyn-Koźle;opolskie;50.344722222222224;18.20861111111111
Kietrz;opolskie;50.07916666666667;18.00888888888889
Kluczbork;opolskie;50.973055555555554;18.214166666666667
Kolonowskie;opolskie;50.653055555555554;18.38888888888889
Korfantów;opolskie;50.48916666666667;17.596944444444443
Krapkowice;opolskie;50.474722222222226;17.96722222222222
Leśnica (miasto);opolskie;50.42916666666667;18.18111111111111
Lewin Brzeski;opolskie;50.749722222222225;17.61888888888889
Namysłów;opolskie;51.07277777777778;17.706944444444442
Niemodlin;opolskie;50.64194444444444;17.619444444444444
Nysa;opolskie;50.47166666666667;17.334166666666665
Olesno;opolskie;50.875;18.416666666666668
Opole;opolskie;50.664722222222224;17.926944444444445
Otmuchów;opolskie;50.465;17.1725
Ozimek;opolskie;50.680277777777775;18.21
Paczków;opolskie;50.46638888888889;17.011388888888888
Praszka;opolskie;51.05611111111111;18.450555555555553
Prószków;opolskie;50.57638888888889;17.87138888888889
Prudnik;opolskie;50.319722222222225;17.579166666666666
Strzelce Opolskie;opolskie;50.51111111111111;18.300555555555555
Tułowice;opolskie;50.59916666666667;17.648888888888887
Ujazd (województwo opolskie);opolskie;50.39055555555556;18.354166666666668
Wołczyn;opolskie;51.01855555555556;18.04827777777778
Zawadzkie;opolskie;50.60944444444445;18.479999999999997
Zdzieszowice;opolskie;50.41916666666666;18.12361111111111
Augustów;podlaskie;53.843611111111116;22.9775
Białystok;podlaskie;53.13527777777778;23.145555555555553
Bielsk Podlaski;podlaskie;52.76833333333333;23.191944444444445
Brańsk;podlaskie;52.745555555555555;22.833333333333332
Choroszcz;podlaskie;53.143055555555556;22.985555555555557
Ciechanowiec;podlaskie;52.68611111111111;22.491666666666667
Czarna Białostocka;podlaskie;53.305277777777775;23.28222222222222
Czyżew;podlaskie;52.795833333333334;22.329166666666666
Dąbrowa Białostocka;podlaskie;53.65361111111111;23.34861111111111
Drohiczyn (Polska);podlaskie;52.39722222222222;22.659166666666664
Goniądz;podlaskie;53.48972222222222;22.733333333333334
Grajewo;podlaskie;53.64666666666667;22.455
Hajnówka;podlaskie;52.73888888888889;23.583333333333332
Jedwabne;podlaskie;53.28611111111111;22.302500000000002
Kleszczele;podlaskie;52.57416666666667;23.325833333333332
Knyszyn;podlaskie;53.3125;22.919444444444444
Kolno;podlaskie;53.410555555555554;21.933888888888887
Krynki;podlaskie;53.265277777777776;23.772191666666664
Lipsk (Polska);podlaskie;53.73361111111111;23.399722222222223
Łapy;podlaskie;52.99111111111111;22.885277777777777
Łomża;podlaskie;53.17638888888889;22.073055555555555
Michałowo;podlaskie;53.036944444444444;23.604444444444447
Mońki;podlaskie;53.40694444444444;22.797158333333336
